Date,nps,Comment,comment
1/21/2023 16:00,10,Facil y rapido,excellent option
1/21/2023 16:04,10,exceelente opcion,because it is easy to use
1/21/2023 16:06,10,Porque es sencillo de utilizar,ok
1/21/2023 16:25,9,ok,I LOVE THE SERVICE
1/21/2023 16:27,10,ME ENCANTA EL SERVICIO,
1/21/2023 17:02,9,",",all good
1/21/2023 17:13,10,todo biern,efficient
1/21/2023 17:15,10,eficiente,So far everything is going well for the first time traveling on your airline. I hope everything goes great and I will use your service again.
1/21/2023 17:19,9,Hasta ahorita todo va saliendo bien primera vez viajando en su Aerolinea espero todo salga de maravilla y volver a usar su servicio.,OK
1/21/2023 17:22,10,OK,Speed
1/21/2023 17:32,10,Rapidez,"Design, ease, familiarity."
1/21/2023 17:33,10,"Diseño, facilidad, familiaridad.",Easy to use
1/21/2023 17:45,10,Facil uso,PRECIO
1/21/2023 17:51,9,PRECIO,GOOD CUSTOMER SERVICE
1/21/2023 17:55,10,BUEN SERVICIO AL CLIENTE,Fast and easy
1/21/2023 18:00,10,Fácil y rápido,Agility
1/21/2023 18:03,10,Agilidad,ACCESSIBLE
1/21/2023 18:04,10,ACCESIBLE,EXCELLENT SERVICE
1/21/2023 18:22,10,EXCELENTE SERVICIO,quick
1/21/2023 18:27,10,rapido,It is not friendly
1/21/2023 18:35,9,No es amigable,I WOULD LIKE THEM TO PUT MORE ROUTES FROM QUERETARO INTERNATIONAL AIRPORT
1/21/2023 18:39,10,ME GUSTARUA QUE PUSIERAN MAS RUTAS DESDE EL AEROPUERTO INTERNACIONAL DE QUERETARO,for comfort
1/21/2023 18:46,10,por comodidad,IT WAS EASY
1/21/2023 18:54,10,ESTUVO FACIL,Easy to use
1/21/2023 19:01,9,facil de usar,speed
1/21/2023 19:04,9,rapidez,VERY FAST
1/21/2023 19:18,10,MUY RÁPIDO,GOOD
1/21/2023 19:23,10,BIEN,AND
1/21/2023 19:33,10,SI,THE SERVICE WAS VERY GOOD
1/21/2023 19:34,10,FUE MUY BUENO EL SERVICIO,The page is very useful.
1/21/2023 19:36,10,Es muy práctica la página,"It is well understood, and it explains everything so that you can make your flight reservation comfortably."
1/21/2023 19:40,9,"Se entiende bien, y te explica todo para que hagas tu reservación de vuelo cómodamente.",easy to use
1/21/2023 19:52,10,fácil de usar,EXPEDITES THE APPROACH
1/21/2023 19:56,10,AGILIZA EL ABORDAJE,JJ
1/21/2023 1:03,10,JJ,it is very practical
1/21/2023 1:12,10,es muy practico,attention
1/21/2023 1:24,10,atenciion,OK
1/21/2023 20:08,9,OK,AGILITY
1/21/2023 20:11,10,Excelente servicio,Excellent service
1/21/2023 20:11,10,AGILIDAD,GRACIAS
1/21/2023 20:11,10,GRACIAS,Ease
1/21/2023 21:10,9,Facilidad,excellent and fast service
1/21/2023 21:22,9,excelente y rapido servicio,super facil
1/21/2023 21:23,10,super facil,GOOD
1/21/2023 21:45,10,bien,"Because everything is fine, thank you."
1/21/2023 21:46,10,"Porque todo muy bien, gracias.",For attention and service
1/21/2023 22:33,10,Por la atención y el servicio,Good service
1/21/2023 22:48,10,Buen servicio,Good service
1/21/2023 23:07,10,Buen servicio,Why are more unforeseen expenses generated in the reservation?
1/21/2023 23:09,9,por que se generan mas gastos no previstos en la reservacion,efficient
1/21/2023 23:31,9,eficiente,Easy
1/21/2023 23:43,10,Fácil,Good service
1/21/2023 23:55,10,Buen servicio,easy
1/21/2023 2:01,10,facil,because it is simple
1/21/2023 2:03,10,por que es sencillo,by prices
1/21/2023 2:12,10,por precios,Effectiveness
1/21/2023 2:32,10,Eficacia,Good service
1/21/2023 2:44,9,Buen servicio,GREAT
1/21/2023 2:54,10,EXCELENTE,simple
1/21/2023 3:01,10,Sencilles,ECONOMIC
1/21/2023 3:14,10,ECONOMICO,Fast and easy
1/21/2023 3:35,10,Fácil y rápido,Very fast
1/21/2023 3:56,10,Muy rapido,GOOD
1/21/2023 4:16,10,BIEN,Prices
1/21/2023 4:28,9,Precios,It was fast
1/21/2023 5:03,9,Fue rápido,FOR THE PRICES
1/21/2023 5:11,10,POR LOS PRECIOS,VERY FAST
1/21/2023 5:17,10,MUY RAPIDO,very fast
1/21/2023 5:25,10,muy rapido,very easy and fast
1/21/2023 5:28,10,muy fácil y rapido,sai
1/21/2023 5:51,10,sai,the cheap
1/21/2023 5:55,9,lo economico,It is easy
1/21/2023 6:21,10,es fácil,to facilitate the trip
1/21/2023 7:01,9,para facilitar el viaje,I LOVE IT SUPER EASY AND GOOD PRICES
1/21/2023 7:06,10,ME ENCANTA SUPER FACIL Y BUENOS PRECIOS,THE BEST
1/21/2023 8:22,10,LO MEJOR,they are fast
1/22/2023 0:19,10,son rapidos,ok
1/22/2023 0:22,10,ok,Good experience
1/22/2023 10:27,9,Buena experiencia,Ease!
1/22/2023 11:50,10,Facilidad!,IT TAKES A LONG TIME
1/22/2023 12:55,9,TARDA MUCHO,Practical
1/22/2023 13:33,10,Práctico,IT'S EASY AND FRIENDLY
1/22/2023 14:49,9,ES FÁCIL Y AMIGABLE,Easy
1/22/2023 14:56,10,Facil,fast and easy
1/22/2023 15:05,10,fácil y rápido,SAFETY COMFORT AND PRICE
1/22/2023 15:12,10,SEGURIDAD COMODIDAD Y PRECIO,for simple
1/22/2023 15:22,10,por senciillo,"useful, practical"
1/22/2023 15:37,10,"util, practico",very easy
1/22/2023 15:41,9,muy sencillo,FOR PRACTICE AND SIMPLE
1/22/2023 15:49,9,POR PRACTICA Y SENCILLA,easy
1/22/2023 16:36,10,facil,All good
1/22/2023 16:40,10,Todo bien,excellent application
1/22/2023 16:54,10,excelente aplicacion,Amigo
1/22/2023 17:33,10,Amigo,FAST AND SAFE
1/22/2023 17:47,10,RAPIDA Y SEGURA,It is easy to do
1/22/2023 17:58,10,Es facil de realizar,fast
1/22/2023 18:05,10,rapides,BECAUSE IT IS VERY EASY AND QUICK TO DO THE CHECK IN
1/22/2023 18:15,10,POR QUE ES MUY FACIL Y RAPIDO HACER EL CHECK IN,Good pretty and cheap
1/22/2023 18:28,10,"Bueno, bonito y barato",Fast and easy
1/22/2023 18:29,10,Facil y rápido,ok
1/22/2023 18:35,10,ok,SERVICE
1/22/2023 19:01,10,SERVICIO,THEY ARE VERY GOOD FLIGHT LINE
1/22/2023 19:07,10,SON MUY BUENA LINEA DE VUELO,speed
1/22/2023 19:12,10,rapidez,It is being easy for me to carry out the process
1/22/2023 19:23,9,me esta siendo fácil realizar el tramite,very good
1/22/2023 19:23,10,muy bueno,The website is very easy to use. Thank you.
1/22/2023 19:28,10,La web está muy fácil de usar. Gracias.,easy and fast tacil
1/22/2023 19:45,10,tacil rapido y sensillo,"Fast, easy to use and friendly"
1/22/2023 1:02,10,"Rápida, fácil de usar y amigable",ok
1/22/2023 1:07,10,ok,SUPER FRIENDLY AND FAST
1/22/2023 1:21,10,SUPER AMIGABLE Y RAPDA,THEY ARE GOOD AT WHAT THEY DO
1/22/2023 1:28,10,SON BUENOS EN LO QUE HACEN,ye
1/22/2023 1:32,10,ye,EXCELLENT AIRLINE
1/22/2023 1:44,10,EXCELENTE AEROLINEA,GOOD ATTENTION
1/22/2023 1:48,10,BUENA ATENCION,safe
1/22/2023 1:55,10,seguros,GOOD SERVICE AND FORMALITY
1/22/2023 20:00,10,BUEN SERVICIO Y FORMALIDAD,accessible prices
1/22/2023 20:08,9,Precios accesibles,cheap
1/22/2023 20:45,10,baratos,for your good service.
1/22/2023 20:57,10,por su buen servicio.,EXCELLENT SERVICE!
1/22/2023 21:08,10,EXCELENTE SERVICIO!,
1/22/2023 21:11,10,.,THE SERVICE IS VERY GOOD
1/22/2023 21:25,10,ES MU BUENO EL SERVICIO,Gracias
1/22/2023 21:38,10,Gracias,excellent service
1/22/2023 21:57,10,exxcelente servicio,It's easy and simple
1/22/2023 22:14,10,Es facil y sencilo,IT IS EASY
1/22/2023 22:14,10,ES FACIL,it is always easy to navigate in it
1/22/2023 22:24,10,siempre es sencillo navegar en ella,good online service
1/22/2023 22:32,9,buen servicio onlin,speed
1/22/2023 22:41,10,rapidez,the speed
1/22/2023 23:01,10,la rapidez,OK
1/22/2023 23:06,10,OK,VERY EASY AND INTUITIVE
1/22/2023 23:14,10,MUY FACIL E INTUITIVO,Very easy and intuitive
1/22/2023 23:56,10,Muy fácil e intuitivo,It's easy to do
1/22/2023 2:04,10,Es fácil de hacerlo,Good service
1/22/2023 2:10,10,Buen servicio,"For its affordable prices and good service, on the ground and on the plane."
1/22/2023 3:02,9,"Por sus precios accesibles y su buen servicio, en tierra y en el avión.",costs
1/22/2023 3:09,10,costos,fast and easy
1/22/2023 3:30,10,facil y rapido,speed
1/22/2023 3:39,10,rapidez,CHEAPEST RATE
1/22/2023 4:08,10,TARIFA MAS BARATA,Text prototypes
1/22/2023 4:32,10,Prototipos textuales,it's simple
1/22/2023 4:33,9,es sencillo,Good service
1/22/2023 4:48,10,Buen servicio,he is friendly
1/22/2023 4:59,10,es amigable,easy
1/22/2023 5:21,10,fácil,agile I think
1/22/2023 6:30,10,ágil creo yo,because they always solve me
1/22/2023 7:52,10,porq siempre me resuelven,CLEAR SERVICE AND EASY ACCESS
1/23/2023 0:05,10,SERVICIO CLARO Y FACIL ACCESO,all good
1/23/2023 0:07,10,todo bien,GOOD SERVICE
1/23/2023 0:07,10,BUEN SERVICIO,DYNAMIC
1/23/2023 0:09,10,DINAMICO,all prudent and fine
1/23/2023 0:20,10,Todo prudente y bien,very simple
1/23/2023 0:34,10,muy sencilla,IT WAS SO EASY
1/23/2023 0:47,10,FUE MUY FACIL,quick and easy
1/23/2023 0:48,10,rapido y facil,very fast
1/23/2023 0:52,9,muy rapido,easy
1/23/2023 11:53,10,facil,ESD FACIL
1/23/2023 14:38,10,ESD FACIL,All good
1/23/2023 14:46,10,Todo bien,IT'S VERY QUICK AND EASY
1/23/2023 15:05,10,ES MUY RAPIDO Y FACIL,GOOD SERVICE
1/23/2023 15:09,10,BUEN SERVICIO,It is fast and reliable
1/23/2023 15:10,10,Es rápido y confiable,speed
1/23/2023 15:31,10,rapidez,EASE
1/23/2023 15:35,10,FACILIDAD,all clear and fast
1/23/2023 15:46,10,todo claro y rapido,Speed
1/23/2023 15:47,10,Rapidez,very fast
1/23/2023 15:49,10,muy rapido,It is a very agile and simple process
1/23/2023 15:53,10,Es un proceso muy ágil y sencillo,agile
1/23/2023 15:55,10,agil,gracias
1/23/2023 16:00,10,gracias,GRACIAS
1/23/2023 16:03,10,GRACIAS,easy
1/23/2023 16:04,10,facil,VERY PRACTICAL
1/23/2023 16:09,9,MUY PRACTICA,BECAUSE IT'S A QUICK TRAVEL
1/23/2023 16:10,10,PORQUE ES UN VIAJE RAPIDO,for having multiple schedules
1/23/2023 16:25,10,por tener varios horarios,The ease and speed with which it is done
1/23/2023 16:29,10,La facilidad y rapidez con que se hace,Fast and good service
1/23/2023 16:31,9,Rapidez y buen servicio,EXCELLENT PAGE
1/23/2023 16:41,9,EXCELENTE PAGINA,service
1/23/2023 16:43,10,servicio,Because they make very good discounts!
1/23/2023 16:51,10,Porque hacen descuentos bien buenos!,great
1/23/2023 16:54,10,excelente,It is very accessible with prices and I have had very good experiences traveling with Viva Aerobus
1/23/2023 17:07,10,Es muy accesible con los precios y he tenido muy buenas experiencias viajando con Viva Aerobus,GRACIAS
1/23/2023 17:12,10,GRACIAS,accessibility
1/23/2023 17:12,10,accesibilidad,gracias
1/23/2023 17:15,10,gracias,it's fast
1/23/2023 17:16,10,es rápido,GOOD
1/23/2023 17:21,10,bien,very effective
1/23/2023 17:22,10,muy eficaces,It was easy to do
1/23/2023 17:30,9,Fue sencillo de realizar,it was simple
1/23/2023 17:36,10,fue sencillos,FAST AND EASY
1/23/2023 17:41,10,FÁCIL Y RÁPIDO,VERY EASY
1/23/2023 17:48,10,MUY FACIL,GOOD SERVICE
1/23/2023 17:55,10,BUEN SERVICIO,COMFORT
1/23/2023 18:03,10,COMODIDAD,great
1/23/2023 18:04,10,excelente,ok
1/23/2023 18:05,10,ok,
1/23/2023 18:08,10,.,very easy
1/23/2023 18:10,10,muy fácil,IT IS EASY
1/23/2023 18:14,10,ES FÁCIL,Good service
1/23/2023 18:16,9,Buen servicio,Agility to carry out procedures
1/23/2023 18:17,10,Ágilidad para realizar los trámites,It's simple
1/23/2023 18:17,9,Es sencillo,very fast
1/23/2023 18:18,10,muy rapido,The page is very friendly
1/23/2023 18:19,10,Es muy amigable la pagina,GOOD SERVICE
1/23/2023 18:21,10,BUEN SERVICIO,the speed and efficiency alberto
1/23/2023 18:25,10,la rapidez y eficacia alberto,Easy to use
1/23/2023 18:26,10,Facil de usar,IS THE BEST
1/23/2023 18:29,10,ES LA MEJOR,"I fly every month, everything is fine."
1/23/2023 18:42,10,vuelo cada mes todo muy bien,all excellent
1/23/2023 18:45,10,todo excelente,accessible
1/23/2023 18:47,9,accesible,Very fast and efficient
1/23/2023 18:51,10,Muy rapido y eficiente,JUST BECAUSE
1/23/2023 18:52,9,PORQUE SI,IT IS MORE PRACTICAL
1/23/2023 18:54,9,ES MAS PRACTICO,JUST BECAUSE
1/23/2023 19:08,10,rápida,fast
1/23/2023 19:08,10,PORQUE SI,fast and easy
1/23/2023 19:16,10,facil y rápido,very good attention
1/23/2023 19:20,10,muy buen atencion,yes I recommend it
1/23/2023 19:22,10,si lo recomiendo,rs
1/23/2023 19:29,10,rs,VERY GOOD EVERYTHING
1/23/2023 19:32,9,MUY BIEN TODO,GOOD SERVICE
1/23/2023 19:35,10,BUEN SERVICIO,great!
1/23/2023 19:40,10,excelente!,quick
1/23/2023 19:41,10,rapida,BY SERVICE
1/23/2023 19:48,10,POR SERVICIO,It is efficient and fast
1/23/2023 19:53,10,Es eficiente y rápido,quick and easy
1/23/2023 19:54,10,rapido y facil,IT IS VERY PRACTICAL
1/23/2023 19:57,10,ES MUY PRACTICO,Simple to perform.
1/23/2023 19:59,9,Sencillo de realizar.,EFFECTIVE
1/23/2023 1:00,10,EFECTIVA,because it is very easy and fast
1/23/2023 1:14,10,porque es muy facil y rapido,gracias
1/23/2023 1:46,10,gracias,ALLOW TO DO IT A LITTLE MORE TIME IN ADVANCE
1/23/2023 1:58,10,PERMITIR HACERLO CON UN POCO MAS DE TIEMPOR DE ANTICIPACION,for ease
1/23/2023 1:59,9,Por facilidad,quick and easy
1/23/2023 20:24,10,rapido y  facil,pride
1/23/2023 20:32,10,pride,KINDNESS
1/23/2023 20:56,10,AMABILIDAD,everything is simple with vicaerobus
1/23/2023 21:11,10,todo es sencillo con vicaerobus,good service
1/23/2023 21:12,10,buen servicio,because it is simple
1/23/2023 21:12,9,por que es sencillo,bueno
1/23/2023 21:19,10,bueno,If it's easy for me
1/23/2023 21:23,9,Se me hzo facil,speed and efficiency
1/23/2023 21:23,10,rapidez y eficiencia,The information is clear when making a choice at all times about the benefits you want to have.
1/23/2023 21:38,9,La información es clara al momento de hacer elección en todo momento sobre los beneficios que deseas tener.,EASE
1/23/2023 21:50,10,FACILIDAD,VERY LIKELY
1/23/2023 21:55,9,MUY PROBABLE,VERY FAST AND EASY
1/23/2023 22:00,10,MUY RAPIDO Y FACIL,Easy to use
1/23/2023 22:08,10,Facil de usar,The ticket purchase process is fast.
1/23/2023 22:09,10,Se hace rapido el tramite de compra de boletos,BETTER ACCELERATE THE PROCESS
1/23/2023 22:21,10,ACELERA MEJOR EL PROCESO,The reservation was fast
1/23/2023 22:33,9,Fue rápida la reserva,FOR ALL
1/23/2023 22:48,10,POR TODO,EXCELLENT SCHEDULES AND VERY GOOD RATES
1/23/2023 22:50,9,HORARIOS EXCELENTES Y TARIFAS MUY BUENAS,it has been very simple
1/23/2023 22:52,9,ha sido muy sencillo,ALL GOOD
1/23/2023 22:54,9,TODO BIEN,efficiency
1/23/2023 23:10,10,eficiencia,SERVICES
1/23/2023 23:14,10,SERVICIOS,GREAT
1/23/2023 23:17,10,EXCELENTE,I have never had any problem.
1/23/2023 23:19,10,ES MUY PRACTICA,IT IS VERY PRACTICAL
1/23/2023 23:19,10,Nunca he tenido ningun inconveniente .,Very easy
1/23/2023 23:20,10,Muy facil,XX
1/23/2023 23:35,9,XX,FOR PUNCTUALITY AND ATTENTION
1/23/2023 23:43,10,POR LA PUNTUALIDAD Y ATENCION,Fast and easy
1/23/2023 23:46,10,Facil y rapido,for following the steps
1/23/2023 23:47,9,Por seguir los pasos,"After purchasing additional baggage, it should be possible to change the weight"
1/23/2023 2:18,9,"Despues de comprar equipaje adicional, se deberia poder modificar el peso",because it is very simple
1/23/2023 2:19,9,Porque es muy sencillo,ok
1/23/2023 2:38,10,ok,AND
1/23/2023 2:40,10,SI,fast to buy
1/23/2023 2:48,10,rapido para comprar,"The site does work very well, thank you very much. It is easy to complete the check-in process (documentation), there is even the option of making flight itinerary changes."
1/23/2023 2:57,10,"El sitio sí funciona muy bien, muchas gracias. Está fácil hacer el proceso de check-In (documentación), incluso se da la opción de hacer cambios de itinerario de vuelo.",GOOD
1/23/2023 3:00,10,bien,tratojusto
1/23/2023 3:13,9,tratojusto,AGILE AND CLEAR
1/23/2023 3:34,10,AGIL Y CLARO,AFFORDABLE
1/23/2023 3:37,10,barato,VERY EASY TO INTERACT
1/23/2023 3:52,10,MUY FACIL DE INTERACTUAR,IT'S EASY TO USE
1/23/2023 4:19,10,ES FACIL DE USAR,very good in everything
1/23/2023 4:23,10,Muy bien en todo,"accessible, fast and easy"
1/23/2023 4:27,9,"accesible, rapido y facil",Efficiency
1/23/2023 4:36,10,Eficiencia,Very good service
1/23/2023 4:40,10,Muy buen servcio,
1/23/2023 4:46,10,.,simplify times
1/23/2023 5:00,10,simplificar tiempos,Buena
1/23/2023 5:27,10,Buena,NO PROBLEM
1/23/2023 5:32,10,SIN PROBLEMAS,THE PAGE IS VERY FRIENDLY
